Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
Adamantine Chain Shirt,Uncommon,No,5033,,50,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Scale Mail,Uncommon,No,5033,,50,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Breastplate,Uncommon,No,5610,,400,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Half Plate,Uncommon,No,6188,,750,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Ring Mail,Uncommon,No,5000,,30,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Chain Mail,Uncommon,No,5074,,75,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Splint,Uncommon,No,5280,,200,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Plate,Uncommon,No,7425,,1500,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Ammunition,Uncommon,No,4950,"Add ammunition cost for a 'quiver' of them in Armor Cost column (Arrows = 20, Bolts = 20, Firearm Bullets = 10, Sling Bullets = 10, Needles = 50)",0,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Arrows (20),Uncommon,No,4952,Cost is for 1 quiver of 20 arrows,1,Adamantine,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001,,,,,,,,,,,,,,,,,,,,DMG 2024
Adamantine Weapon,Uncommon,No,5445,"Add weapon cost in Armor Cost column, added cantrip for magic weapon property",0,Adamantine,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,3000,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Alchemy Jug,Uncommon,No,4950,based: create food and water,,,,,,,,3,Y,7,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
"Ammunition, +1",Uncommon,No,297,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,DMG 2024
